City,RoomType,OccupancyRate,RevenuePerBed,CustomerAcquisitionCost,FeedbackRating,StayDuration,Cluster
Bangalore,Dorm,0.6884210526315789,749.7615789473684,175.3978947368421,3.263157894736842,3.1578947368421053,1
Bangalore,Private,0.6976,710.3032000000001,167.00599999999997,2.84,3.16,2
Bangalore,Suite,0.6825925925925925,788.5933333333334,179.5940740740741,2.6296296296296298,3.259259259259259,3
Chennai,Dorm,0.7035,757.2605000000001,183.35899999999998,3.55,3.2,1
Chennai,Private,0.7064705882352941,649.9658823529412,166.47058823529412,3.588235294117647,2.823529411764706,2
Chennai,Suite,0.7492857142857143,812.0707142857143,163.09142857142857,2.642857142857143,2.357142857142857,0
Dehradun,Dorm,0.7735294117647059,677.1923529411765,195.52999999999997,3.0588235294117645,3.235294117647059,2
Dehradun,Private,0.6696,717.0452,195.33,2.84,3.36,2
Dehradun,Suite,0.7027777777777778,757.8894444444445,162.5938888888889,2.8333333333333335,3.0,2
Jaipur,Dorm,0.7358823529411764,795.5158823529412,170.31764705882352,3.1176470588235294,2.823529411764706,1
Jaipur,Private,0.74,803.3105263157895,176.94473684210524,2.9473684210526314,3.526315789473684,2
Jaipur,Suite,0.703125,824.5625,162.04,3.0,2.4375,0
Jaisalmer,Dorm,0.7075,688.08375,175.68875,2.6875,3.3125,1
Jaisalmer,Private,0.7430000000000001,683.449,174.203,3.2,2.2,0
Jaisalmer,Suite,0.7141176470588235,738.74,182.1035294117647,3.176470588235294,3.0588235294117645,3
Kochi,Dorm,0.6788461538461538,745.3365384615385,165.34230769230768,2.769230769230769,3.1923076923076925,1
Kochi,Private,0.7404000000000001,718.8504,192.732,2.96,3.2,2
Kochi,Suite,0.69,736.4822222222223,199.5111111111111,2.888888888888889,3.3333333333333335,3
Manali,Dorm,0.6768181818181819,758.4454545454545,165.87954545454545,2.9545454545454546,3.409090909090909,1
Manali,Private,0.7123999999999999,784.0152,177.3328,2.8,2.88,0
Manali,Suite,0.728,782.2526666666668,198.03866666666667,3.4,2.6,0
Mumbai,Dorm,0.7223529411764705,728.6341176470588,151.09764705882353,3.235294117647059,3.176470588235294,1
Mumbai,Private,0.6978947368421052,727.7973684210526,156.81421052631578,3.1052631578947367,3.4210526315789473,2
Mumbai,Suite,0.6733333333333333,832.7433333333333,183.84133333333332,3.066666666666667,3.4,3
Munnar,Dorm,0.7382608695652174,755.5573913043478,176.43304347826088,2.8260869565217392,3.9565217391304346,1
Munnar,Private,0.7231818181818181,777.1377272727273,189.06636363636363,3.0,2.909090909090909,2
Munnar,Suite,0.6952631578947369,765.7147368421053,181.52421052631578,3.473684210526316,3.210526315789474,0
Mysore,Dorm,0.6431250000000001,716.3675000000001,182.2875,3.125,2.4375,1
Mysore,Private,0.671875,735.3025,175.84375,3.0625,3.0,2
Mysore,Suite,0.7382758620689656,750.6672413793103,185.1889655172414,2.793103448275862,3.0689655172413794,3
Nashik,Dorm,0.6716666666666666,802.8177777777778,196.7288888888889,3.1666666666666665,2.611111111111111,1
Nashik,Private,0.7053333333333334,766.3926666666666,161.29466666666667,2.533333333333333,2.933333333333333,2
Nashik,Suite,0.6925,754.63875,173.17125,3.25,3.0,0
Ooty,Dorm,0.69875,703.9166666666666,172.34541666666667,2.9166666666666665,3.4166666666666665,1
Ooty,Private,0.67875,786.2175,139.01375000000002,3.3125,2.875,1
Ooty,Suite,0.6799999999999999,880.4264285714286,165.48428571428573,2.7142857142857144,3.0,1
Panaji,Dorm,0.6926923076923077,692.4569230769231,157.72653846153847,2.8461538461538463,3.4615384615384617,1
Panaji,Private,0.6895238095238095,714.25,188.6152380952381,3.0476190476190474,3.0,2
Panaji,Suite,0.6594117647058824,776.8429411764706,183.0441176470588,3.0,3.411764705882353,3
Pune,Dorm,0.71,751.54,167.364375,2.875,3.5625,1
Pune,Private,0.6409090909090909,847.6481818181819,184.78272727272727,2.4545454545454546,2.909090909090909,2
Pune,Suite,0.63125,757.725,211.429375,2.75,3.0625,2
Rishikesh,Dorm,0.69,812.8560000000001,181.50400000000002,3.16,3.16,1
Rishikesh,Private,0.73625,733.71,179.046875,3.3125,2.8125,0
Rishikesh,Suite,0.7071428571428571,755.0309523809524,175.86904761904762,3.0,2.857142857142857,0
Shimla,Dorm,0.726842105263158,884.3521052631578,184.71947368421053,2.6315789473684212,2.9473684210526314,3
Shimla,Private,0.7186956521739131,646.6252173913043,148.0586956521739,3.0869565217391304,3.260869565217391,3
Shimla,Suite,0.7096153846153845,667.913076923077,175.95461538461538,2.769230769230769,3.1923076923076925,3
Udaipur,Dorm,0.7009090909090909,827.1481818181819,211.17454545454547,3.3636363636363638,2.8181818181818183,0
Udaipur,Private,0.739,653.742,153.615,3.3,2.7,0
Udaipur,Suite,0.655,618.22,146.13125,2.875,3.375,3
Vasco,Dorm,0.7105263157894737,696.3873684210527,202.07,3.263157894736842,3.3157894736842106,1
Vasco,Private,0.6976190476190476,733.6771428571428,173.27380952380952,3.0,2.761904761904762,2
Vasco,Suite,0.69,812.7312499999999,180.68708333333333,2.8333333333333335,2.625,0
