CheckInDate,CheckOutDate,State,City,RoomType,BookingChannel,OccupancyRate,RevenuePerBed,CustomerAcquisitionCost,FeedbackRating
2025-02-17,2025-02-20,Maharashtra,Mumbai,Dorm,Website,0.77,425.58,75.62,5
2024-11-06,2024-11-08,Rajasthan,Jaisalmer,Suite,,0.68,931.19,154.88,4
2024-10-20,2024-10-23,Kerala,Munnar,Dorm,Website,0.8,1161.49,134.15,1
2025-03-08,2025-03-12,Rajasthan,Jaisalmer,Suite,Website,0.93,1175.8,144.63,5
2024-12-08,2024-12-09,Goa,Panaji,Suite,Website,0.66,995.76,296.31,2
2024-12-02,2024-12-05,Karnataka,Mysore,Dorm,Walk-in,0.66,540.28,284.16,1
2024-11-28,2024-12-03,Kerala,Munnar,Dorm,Walk-in,0.94,591.85,242.08,1
2024-11-12,2024-11-14,Goa,Vasco,Suite,OTA,0.82,656.07,278.64,4
2025-03-08,2025-03-11,Kerala,Munnar,Dorm,Website,0.63,758.57,72.73,1
2024-11-04,2024-11-08,Maharashtra,Pune,Suite,OTA,0.78,776.2,292.77,1
2025-02-24,2025-02-27,Uttarakhand,Rishikesh,Private,Website,0.63,708.35,288.45,3
2025-03-08,2025-03-10,Himachal Pradesh,Manali,Private,Website,0.63,785.44,244.66,5
2025-04-07,2025-04-09,Uttarakhand,Dehradun,Dorm,Website,0.74,1090.21,286.74,1
2025-01-29,2025-02-02,Karnataka,Bangalore,Suite,Website,0.41,538.55,268.11,4
2024-11-01,2024-11-04,Himachal Pradesh,Shimla,Private,Walk-in,0.44,706.34,111.98,1
2025-02-07,2025-02-08,Maharashtra,Nashik,Dorm,Website,0.62,1114.88,264.91,1
2025-01-05,2025-01-09,Tamil Nadu,Chennai,Private,Website,0.55,384.89,214.75,3
2024-10-22,2024-10-26,Maharashtra,Mumbai,Suite,OTA,0.75,1020.53,77.32,2
2024-10-21,2024-10-25,Goa,Panaji,Suite,Website,0.56,345.53,299.82,1
2024-11-03,2024-11-05,Tamil Nadu,Ooty,Private,Website,0.49,448.17,50.54,4
2024-11-27,2024-11-29,Tamil Nadu,Chennai,Private,Website,0.92,1171.84,194.8,5
2024-11-30,2024-12-05,Karnataka,Bangalore,Dorm,Website,0.67,361.67,66.99,2
2025-01-22,2025-01-23,Rajasthan,Jaisalmer,Private,Walk-in,0.71,825.31,180.7,3
2025-02-09,2025-02-12,Himachal Pradesh,Shimla,Dorm,Website,0.49,712.46,299.61,1
2024-10-21,2024-10-24,Maharashtra,Mumbai,Private,Website,0.62,694.37,,3
2025-02-01,2025-02-03,Himachal Pradesh,Manali,Private,Website,0.72,1100.74,235.6,2
2024-11-23,2024-11-26,Himachal Pradesh,Shimla,Dorm,Website,0.53,,257.34,1
2025-03-04,2025-03-09,Tamil Nadu,Ooty,Dorm,Website,0.76,367.72,270.78,2
2025-02-19,2025-02-22,Karnataka,Bangalore,Private,Website,0.61,1109.03,102.52,2
2025-03-01,2025-03-03,Karnataka,Bangalore,Dorm,OTA,0.66,322.31,234.14,3
2025-01-29,2025-01-31,Goa,Vasco,Suite,Website,0.61,644.29,59.68,4
2025-01-05,2025-01-06,Goa,Panaji,Suite,Website,0.98,658.62,119.65,1
2024-11-27,2024-11-28,Uttarakhand,Rishikesh,Private,Website,0.7,822.53,295.89,1
2025-01-11,2025-01-16,Maharashtra,Pune,Dorm,OTA,0.54,339.95,159.01,5
2025-02-07,2025-02-11,Goa,Vasco,Dorm,Walk-in,0.82,1128.69,205.79,1
2024-12-09,2024-12-14,Kerala,Munnar,Dorm,Website,0.52,678.4,,2
2025-03-22,2025-03-26,Himachal Pradesh,Manali,Suite,Walk-in,0.73,889.24,166.25,4
2025-04-02,2025-04-05,Karnataka,Bangalore,Suite,Walk-in,0.41,869.65,133.8,2
2024-10-17,2024-10-22,Goa,Vasco,Dorm,OTA,0.5,673.0,207.44,2
2025-03-12,2025-03-16,Rajasthan,Jaipur,Dorm,Website,0.73,1023.7,223.98,4
2025-03-21,2025-03-25,Tamil Nadu,Ooty,Suite,Walk-in,0.81,1102.82,156.69,5
2024-11-16,2024-11-21,Goa,Vasco,Private,Walk-in,0.73,515.32,159.97,3
2025-02-28,2025-03-04,Karnataka,Bangalore,Suite,Website,0.68,935.78,66.06,4
2025-01-06,2025-01-11,Kerala,Kochi,Private,OTA,0.65,305.31,137.94,4
2024-12-21,2024-12-23,Goa,Vasco,Private,OTA,0.48,737.08,147.21,4
2024-12-08,2024-12-13,Rajasthan,Udaipur,Suite,Walk-in,0.59,324.39,210.69,2
2024-11-15,2024-11-18,Tamil Nadu,Ooty,Private,OTA,0.63,976.81,257.98,3
2024-11-26,2024-11-27,Uttarakhand,Rishikesh,Suite,Website,0.86,978.81,287.4,2
2025-03-13,2025-03-15,Maharashtra,Nashik,Private,Walk-in,0.75,530.62,142.22,5
2024-12-20,2024-12-25,Himachal Pradesh,Manali,Dorm,OTA,0.44,818.22,277.01,4
2024-11-04,2024-11-07,Goa,Panaji,Suite,Walk-in,0.75,1024.98,249.06,5
2024-11-03,2024-11-07,Uttarakhand,Rishikesh,Private,Website,0.64,690.17,140.55,4
2024-12-28,2025-01-01,Himachal Pradesh,Shimla,Private,Walk-in,0.6,833.23,130.58,2
